sample,bulk_density,particle_density,finalform
03-16533,-0.3995541776408032,-0.15904436098507777,Granular
03-16534,-0.1767329604178201,-0.13937796849407866,Granular
03-16535,-0.5195348330685631,-0.6179268524417741,Granular
03-16536,-1.0337376420446776,-0.6605373695056055,Granular
03-16537,-0.588095207598712,-0.6277600486872738,Granular
03-16538,-0.7766362375566204,-0.8080353131881206,Granular
03-16539,-0.8623367057193061,-0.6408709770146065,Granular
03-16540,-0.8623367057193061,-0.7719802602879483,Granular
03-16542,-0.7423560502915462,-0.7293697432241096,Granular
03-16543,-1.0680178293097524,-0.6769260299147787,Granular
03-17102,-1.5308003573882554,0.3621150400264564,Powder
03-17103,-1.6507810128160152,0.36867050419012276,Powder
03-17104,-1.3593994210628837,0.3588373079446232,Powder
03-17105,-1.3079791401652723,0.34572637961729047,Powder
03-17540,1.2287547174502254,0.014675439352102719,Pellets
03-17541,1.3315952792454486,0.03761956392493499,Pellets
03-17542,1.3315952792454486,0.06056368849776726,Pellets
03-17884,-0.5023947394360263,-0.7129810828149438,Granular
03-18739,-1.0165975484121408,0.2736162738169459,Powder
03-19101,1.5886966837335057,0.7128323727826432,Pellets
03-20400,0.8345325639018715,-0.683481494078445,Pellets
03-21328,0.8345325639018715,-0.2213212705399155,Pellets
03-21330,1.005933500227243,-0.3032645725857523,Pellets
03-24422,1.3487353728779858,0.18511750760744272,Pellets
03-24423,1.3487353728779858,0.4440583420722932,Pellets
03-25016,-1.9078824173040725,-0.6015381920326083,Granular
03-25017,-1.5650805446533294,-0.6277600486872738,Granular
03-25018,-1.9078824173040725,-0.6310377807691069,Granular
03-25019,-1.5650805446533294,-0.6408709770146065,Granular
03-25020,-1.5650805446533294,-0.6670928336692792,Granular
03-25021,-1.5650805446533294,-0.6572596374237797,Granular
03-25022,-1.5650805446533294,-0.6736482978329456,Granular
03-25023,-1.5650805446533294,-0.683481494078445,Granular
03-25024,-1.9078824173040725,-0.6769260299147787,Granular
03-25025,-1.5650805446533294,-0.6769260299147787,Granular
03-25026,-1.736481480978701,-0.6900369582421114,Granular
03-25027,-1.736481480978701,-0.7129810828149438,Granular
03-25028,-1.736481480978701,-0.7195365469786174,Granular
03-25029,-1.5650805446533294,-0.6802037619966119,Granular
03-25030,-1.5650805446533294,-0.6670928336692792,Granular
03-25033,-1.393679608327958,-0.6474264411782729,Granular
03-25034,-1.5650805446533294,-0.6736482978329456,Granular
03-25342,-0.8280565184542319,-0.09021198726657366,Powder
03-25347,-0.8794767993518435,-0.07382332685740775,Powder
03-25432,0.8688127511669462,0.41455875333579456,Pellets
03-25673,-1.393679608327958,-0.7326474753059501,Granular
03-25674,-1.1879984847375122,-0.7228142790604506,Granular
03-25675,-0.7766362375566204,-0.7293697432241096,Granular
03-25676,-0.6737956757613978,-0.7064256186512774,Granular
03-25677,-1.427959795593032,-0.7359252073877833,Granular
03-25678,-1.427959795593032,-0.7621470640424487,Granular
03-25679,-1.1022980165748266,-0.7129810828149438,Granular
03-25680,-1.5650805446533294,-0.7818134565334551,Granular
03-25681,-1.2908390465327348,-0.6441487090964396,Granular
03-25682,-1.2394187656351239,-0.6703705657511123,Granular
03-25683,-1.3251192337978095,-0.6572596374237797,Granular
04-00316,1.3315952792454486,0.506335251627131,Pellets
04-00317,1.3658754665105233,0.5981117499184673,Pellets
04-00322,0.8516726575344088,-0.683481494078445,Pellets
04-00404,0.7488320957391857,-0.4966507654139319,Pellets
04-00405,0.7659721893717231,-0.5032062295775982,Pellets
04-00535,-1.050877735677215,0.15889565095277727,Powder
04-00536,-0.8794767993518435,-0.06726786269373411,Powder
04-00540,-0.2281532413154317,0.07695234890693317,Granular
04-00541,0.04608825680516234,0.48666885913613184,Granular
