sample,parameter,value
08-09222,particle density,1.1040999999999999
08-09450,particle density,1.0983
08-09450,bulk density,32.0
08-09451,particle density,1.0963
08-09451,bulk density,31.0
08-09718,particle density,1.0920999999999998
08-09718,bulk density,29.0
08-09719,particle density,1.0894
08-09719,bulk density,39.0
08-09836,particle density,1.096
08-09836,bulk density,33.0
08-09837,bulk density,34.0
08-09837,particle density,1.1012
08-09838,bulk density,35.0
08-09838,particle density,1.1009
08-09839,particle density,1.0993
08-09839,bulk density,32.0
08-10257,particle density,1.105
08-10257,bulk density,35.4
08-10258,bulk density,31.4
08-10258,particle density,1.0937000000000001
08-10259,particle density,1.1017000000000001
08-10259,bulk density,32.6
08-10260,bulk density,33.2
08-10260,particle density,1.1017000000000001
08-10261,particle density,1.0908
08-10261,bulk density,30.4
08-10750,particle density,1.0962
08-10750,bulk density,32.0
08-10751,bulk density,30.9
08-10751,particle density,1.0953
08-10752,bulk density,35.1
08-10752,particle density,1.0960999999999999
08-10753,particle density,1.0992
08-10753,bulk density,30.1
08-10754,particle density,1.0882
08-10754,bulk density,30.2
08-10955,particle density,1.0903
08-10955,bulk density,31.4
08-10956,particle density,1.0920999999999998
08-10956,bulk density,32.6
08-10957,particle density,1.0981
08-10957,bulk density,34.6
08-10958,bulk density,32.9
08-10958,particle density,1.0985
08-10959,particle density,1.1015000000000001
08-10959,bulk density,34.0
08-11889,bulk density,28.4
08-11889,particle density,1.0931
08-11904,particle density,1.1008
08-11904,bulk density,32.8
08-11905,particle density,1.1015000000000001
08-11905,bulk density,34.9
08-12253,particle density,1.1095000000000002
08-12253,bulk density,41.5
08-12254,bulk density,41.5
08-12254,particle density,1.1089
08-12255,bulk density,41.6
08-12255,particle density,1.1096
08-12256,particle density,1.1106
08-12256,bulk density,41.6
08-12257,particle density,1.1106
08-12257,bulk density,41.6
08-12298,particle density,1.1021
08-12298,bulk density,31.9
08-12299,particle density,1.0997
08-12299,bulk density,32.3
08-12300,bulk density,35.6
08-12300,particle density,1.1049
08-12301,bulk density,35.9
08-12301,particle density,1.1056
08-12500,particle density,1.088
08-12500,bulk density,24.9
08-12925,bulk density,23.5
08-12925,particle density,1.0916000000000001
08-12926,bulk density,22.9
08-12926,particle density,1.0901
08-13037,bulk density,33.8
08-13037,particle density,1.0994000000000002
08-13038,particle density,1.0983
08-13038,bulk density,33.3
08-13039,bulk density,30.9
08-13039,particle density,1.0993
08-13591,particle density,1.108
08-13591,bulk density,36.4
08-13592,particle density,1.0984
08-13592,bulk density,32.6
08-13593,particle density,1.0941
08-13593,bulk density,30.0
08-13935,particle density,1.1049
08-13935,bulk density,33.7
08-13936,particle density,1.1061
08-13936,bulk density,34.2
08-13937,particle density,1.1059999999999999
08-13937,bulk density,34.8
08-13938,bulk density,32.3
08-13938,particle density,1.1008
08-13939,bulk density,31.9
08-13939,particle density,1.1002
08-14194,particle density,1.1076000000000001
08-14194,bulk density,35.6
08-14195,particle density,1.1019999999999999
08-14195,bulk density,36.1
08-14196,particle density,1.0922
08-14196,bulk density,28.3
08-14197,particle density,1.1054
08-14197,bulk density,36.1
08-14945,particle density,1.1004
08-14945,bulk density,36.5
08-14946,bulk density,36.7
08-14946,particle density,1.0976
08-15438,particle density,1.099
08-15438,bulk density,35.6
08-15439,particle density,1.0968
08-15439,bulk density,35.9
08-15440,particle density,1.0976
08-15440,bulk density,34.8
08-15760,bulk density,41.0
08-15760,particle density,1.0967
08-15761,particle density,1.097
08-15761,bulk density,41.0
08-15933,particle density,1.1089
08-15933,bulk density,34.3
08-15934,particle density,1.1048
08-15934,bulk density,35.9
08-15935,bulk density,34.2
08-15935,particle density,1.1014
08-15936,particle density,1.1028
08-15936,bulk density,36.5
08-16148,particle density,1.0998
08-16148,bulk density,34.6
08-16149,bulk density,35.1
08-16149,particle density,1.0973000000000002
08-16150,particle density,1.0979999999999999
08-16150,bulk density,34.5
08-16151,bulk density,32.6
08-16151,particle density,1.0926
08-16742,bulk density,34.0
08-16742,particle density,1.0994000000000002
08-16743,particle density,1.1035
08-16743,bulk density,34.3
08-16744,bulk density,34.6
08-16744,particle density,1.0984
08-16745,bulk density,35.3
08-16745,particle density,1.0979999999999999
08-16746,particle density,1.0989
08-16746,bulk density,34.1
08-16747,particle density,1.0969
08-16747,bulk density,34.1
08-17031,particle density,1.1016
08-17031,bulk density,34.9
08-17032,particle density,1.1002
08-17032,bulk density,31.9
08-17340,bulk density,36.2
08-17340,particle density,1.084
08-17341,bulk density,36.6
08-17341,particle density,1.0823
08-17342,bulk density,37.1
08-17342,particle density,1.0822
08-17428,particle density,1.1113
08-17428,bulk density,36.8
08-17429,particle density,1.0979
08-17429,bulk density,34.4
08-17430,bulk density,34.3
08-17430,particle density,1.1002
08-17431,particle density,1.0964
08-17431,bulk density,33.7
08-17905,bulk density,27.8
08-17905,particle density,1.0715
08-17906,particle density,1.0718999999999999
08-17906,bulk density,28.4
08-17907,bulk density,29.3
08-17907,particle density,1.0716999999999999
08-17908,particle density,1.0716
08-17908,bulk density,29.5
08-18682,bulk density,35.1
08-18682,particle density,1.107
08-18683,bulk density,37.8
08-18683,particle density,1.1082999999999998
08-18684,particle density,1.0968
08-18684,bulk density,36.2
08-19063,bulk density,35.9
08-19063,particle density,1.0981
08-19064,bulk density,28.9
08-19064,particle density,1.0895000000000001
08-19355,particle density,1.1055000000000001
08-19355,bulk density,28.0
08-19678,particle density,1.0848
08-19678,bulk density,30.4
08-19679,particle density,1.0958999999999999
08-19679,bulk density,34.0
08-19680,particle density,1.0995
08-19680,bulk density,35.3
08-19793,bulk density,24.0
08-19793,particle density,1.0972
08-19839,particle density,1.0673
08-19839,bulk density,34.5
08-19840,particle density,1.0674000000000001
08-19840,bulk density,33.2
08-19841,particle density,1.0672000000000001
08-19841,bulk density,24.4
08-19842,particle density,1.0651000000000002
08-19842,bulk density,0.0
08-20075,bulk density,39.6
08-20075,particle density,1.0851
08-20076,particle density,1.0936
08-20076,bulk density,28.8
08-20252,particle density,1.1107
08-20252,bulk density,41.8
08-20253,bulk density,41.2
08-20253,particle density,1.1116000000000001
08-20254,bulk density,40.7
08-20254,particle density,1.1115
08-20482,particle density,1.0979
08-20482,bulk density,33.2
08-20483,bulk density,36.4
08-20483,particle density,1.0985
09-00253,particle density,1.1078999999999999
09-00253,bulk density,34.0
09-00254,particle density,1.1093
09-00254,bulk density,35.0
09-00577,bulk density,33.4
09-00577,particle density,1.0905
09-00578,bulk density,31.9
09-00578,particle density,1.0903
09-01042,bulk density,37.0
09-01042,particle density,1.073
09-01043,bulk density,34.0
09-01043,particle density,1.0984
09-01044,particle density,1.0979
09-01044,bulk density,36.0
09-01045,particle density,1.0979
09-01045,bulk density,35.0
09-01046,bulk density,33.0
09-01046,particle density,1.0958999999999999
09-01348,bulk density,33.6
09-01348,particle density,1.0960999999999999
09-01751,particle density,1.1017000000000001
09-01751,bulk density,37.1
09-01752,particle density,1.1005
09-01752,bulk density,36.0
09-01753,bulk density,37.4
09-01753,particle density,1.1045
09-01754,bulk density,37.7
09-01754,particle density,1.1044
09-01755,particle density,1.0913
09-01755,bulk density,37.3
09-02033,particle density,1.093
09-02033,bulk density,27.5
09-02201,bulk density,35.1
09-02201,particle density,1.1042
09-02202,particle density,1.1018
09-02202,bulk density,36.8
09-02455,bulk density,35.0
09-02455,particle density,1.1045
09-02456,particle density,1.0958
09-02456,bulk density,32.0
09-02457,particle density,1.1040999999999999
09-02457,bulk density,34.0
09-02848,particle density,1.0741
09-02848,bulk density,34.0
09-02866,particle density,1.0725
09-02866,bulk density,34.0
09-02883,particle density,1.0969
09-02883,bulk density,34.0
09-02884,particle density,1.1068
09-02884,bulk density,35.0
09-02885,particle density,1.1084
09-02885,bulk density,36.0
09-02886,bulk density,36.0
09-02886,particle density,1.1027
09-04014,particle density,1.1059999999999999
09-04014,bulk density,42.1
09-04015,bulk density,40.1
09-04015,particle density,1.1064
09-04016,particle density,1.1147
09-04016,bulk density,43.1
09-04017,bulk density,38.9
09-04017,particle density,1.1147
09-04018,particle density,1.1159
09-04018,bulk density,42.5
09-04019,particle density,1.1153
09-04019,bulk density,37.6
09-04582,particle density,1.0937000000000001
09-04582,bulk density,28.0
09-04792,bulk density,30.8
09-04792,particle density,1.1059
09-04973,particle density,1.0995
09-04973,bulk density,34.0
09-04974,bulk density,37.2
09-04974,particle density,1.1096
09-04975,bulk density,0.0
09-04975,particle density,1.1009
09-04976,particle density,1.0989
09-04976,bulk density,33.4
09-05226,particle density,1.1034000000000002
09-05226,bulk density,34.5
09-05227,particle density,1.1015000000000001
09-05227,bulk density,34.3
09-05694,particle density,1.1016
09-05694,bulk density,35.0
09-05695,particle density,1.1008
09-05695,bulk density,34.0
09-05696,bulk density,31.0
09-05696,particle density,1.0996000000000001
09-05697,particle density,1.0968
09-05697,bulk density,34.0
09-05698,particle density,1.1023
09-05698,bulk density,34.0
09-05699,bulk density,30.0
09-05699,particle density,1.0899999999999999
09-06223,particle density,1.1076000000000001
09-06223,bulk density,36.0
09-06224,particle density,1.108
09-06224,bulk density,36.0
09-06225,particle density,1.1065
09-06225,bulk density,36.0
09-06227,particle density,1.1051
09-06227,bulk density,36.0
09-06229,particle density,1.0967
09-06229,bulk density,34.0
09-06957,particle density,1.0894
09-06957,bulk density,39.6
09-06958,bulk density,39.0
09-06958,particle density,1.0862
09-06959,bulk density,38.3
09-06959,particle density,1.0865
09-07782,particle density,1.109
09-07782,bulk density,35.5
09-07783,bulk density,36.1
09-07783,particle density,1.1094
09-07784,particle density,1.1
09-07784,bulk density,34.2
09-07785,bulk density,33.8
09-07785,particle density,1.0991
09-07786,particle density,1.108
09-07786,bulk density,35.3
09-08215,particle density,1.0994000000000002
09-08215,bulk density,34.0
09-08216,particle density,1.0996000000000001
09-08216,bulk density,32.9
09-08217,bulk density,36.2
09-08217,particle density,1.1092
09-08218,bulk density,35.0
09-08218,particle density,1.1108
09-08219,particle density,1.1059999999999999
09-08219,bulk density,35.4
09-08319,particle density,1.0992
09-08319,bulk density,37.5
09-08321,particle density,1.1015000000000001
09-08321,bulk density,37.8
09-08520,particle density,1.1015000000000001
09-08520,bulk density,36.5
09-08751,particle density,1.0977000000000001
09-08751,bulk density,32.8
09-08752,bulk density,28.7
09-08752,particle density,1.0989
09-08753,particle density,1.1003
09-08753,bulk density,31.8
09-09290,bulk density,36.1
09-09290,particle density,1.084
09-09291,particle density,1.0838999999999999
09-09291,bulk density,38.3
09-09612,bulk density,25.0
09-09612,particle density,1.0708
09-09613,particle density,1.0702
09-09613,bulk density,30.0
09-09614,bulk density,28.0
09-09614,particle density,1.0693000000000001
09-09639,bulk density,36.0
09-09639,particle density,1.1093
09-09640,bulk density,37.0
09-09640,particle density,1.108
09-09776,bulk density,36.0
09-09776,particle density,1.1051
09-09777,bulk density,36.0
09-09777,particle density,1.1048
09-09778,bulk density,36.0
09-09778,particle density,1.1040999999999999
09-10730,bulk density,27.0
09-10730,particle density,1.068
09-10731,bulk density,30.0
09-10731,particle density,1.0688
09-10732,bulk density,31.0
09-10732,particle density,1.0686
09-10739,particle density,1.0915
09-10739,bulk density,29.0
09-10894,particle density,1.068
09-10894,bulk density,26.0
09-10895,particle density,1.0689
09-10895,bulk density,29.0
09-11117,bulk density,26.9
09-11117,particle density,1.0688
09-11743,bulk density,42.0
09-11743,particle density,1.1024
09-12854,bulk density,34.4
09-12854,particle density,1.1038000000000001
09-12855,bulk density,34.2
09-12855,particle density,1.1032
09-12856,particle density,1.1034000000000002
09-12856,bulk density,35.1
09-12857,bulk density,34.2
09-12857,particle density,1.1016
09-12858,bulk density,35.7
09-12858,particle density,1.1040999999999999
09-13316,bulk density,33.0
09-13316,particle density,1.0987
09-13317,particle density,1.0945
09-13317,bulk density,32.0
09-13318,bulk density,33.0
09-13318,particle density,1.1052
09-13319,particle density,1.1018
09-13319,bulk density,35.0
09-13320,particle density,1.0954000000000002
09-13320,bulk density,34.0
09-13321,bulk density,34.0
09-13321,particle density,1.0958999999999999
09-13631,particle density,1.0973000000000002
09-13631,bulk density,32.8
09-13632,particle density,1.1054
09-13632,bulk density,35.7
09-13633,particle density,1.103
09-13633,bulk density,35.3
09-13634,particle density,1.1037
09-13634,bulk density,35.6
09-13983,bulk density,33.1
09-13983,particle density,1.0989
09-13984,bulk density,34.7
09-13984,particle density,1.1048
09-13985,bulk density,32.6
09-13985,particle density,1.1000999999999999
09-13986,particle density,1.1061999999999999
09-13986,bulk density,35.6
09-13987,bulk density,34.8
09-13987,particle density,1.0986
09-14116,particle density,1.0894
09-14116,bulk density,27.5
09-14267,bulk density,40.9
09-14267,particle density,1.089
09-14268,particle density,1.0892
09-14268,bulk density,40.7
09-14269,particle density,1.0892
09-14269,bulk density,40.7
09-14314,bulk density,37.0
09-14314,particle density,1.0676999999999999
09-14315,particle density,1.0676999999999999
09-14315,bulk density,37.2
09-14316,bulk density,40.3
09-14316,particle density,1.0702
09-14317,bulk density,40.6
09-14317,particle density,1.0701
09-14886,bulk density,24.0
09-14886,particle density,1.0912
09-15724,bulk density,33.2
09-15724,particle density,1.1005
09-15725,bulk density,33.6
09-15725,particle density,1.1027
09-15726,particle density,1.1073
09-15726,bulk density,33.4
09-15750,bulk density,38.0
09-15750,particle density,1.0744
09-15752,particle density,1.0745
09-15752,bulk density,38.0
09-15754,bulk density,38.0
09-15754,particle density,1.0748
09-15756,particle density,1.0744
09-15756,bulk density,0.0
09-15758,particle density,1.0747
09-15758,bulk density,38.0
09-15759,particle density,1.0743
09-15759,bulk density,38.0
09-15761,bulk density,38.0
09-15761,particle density,1.075
09-15763,particle density,1.0747
09-15763,bulk density,38.0
09-15765,bulk density,38.0
09-15765,particle density,1.0748
09-15767,bulk density,38.0
09-15767,particle density,1.0752000000000002
09-15770,bulk density,38.0
09-15770,particle density,1.0747
09-15772,bulk density,38.0
09-15772,particle density,1.0749
09-16105,particle density,1.0746
09-16105,bulk density,38.0
09-16149,particle density,1.0747
09-16149,bulk density,0.0
09-16312,bulk density,43.2
09-16312,particle density,1.1191
09-16313,bulk density,43.2
09-16313,particle density,1.1189
09-16314,bulk density,43.6
09-16314,particle density,1.1183
09-16599,particle density,1.1047
09-16599,bulk density,34.4
09-16600,particle density,1.103
09-16600,bulk density,34.1
09-16601,bulk density,31.6
09-16601,particle density,1.0973000000000002
09-16602,bulk density,34.4
09-16602,particle density,1.0993
09-16603,particle density,1.0953
09-16603,bulk density,29.3
09-17670,particle density,1.0891
09-17670,bulk density,27.5
09-17929,bulk density,28.0
09-17929,particle density,1.0936
09-19165,bulk density,28.2
09-19165,particle density,1.0944
09-19166,bulk density,27.0
09-19166,particle density,1.0926
10-00741,bulk density,30.4
10-00741,particle density,1.0932
10-00742,bulk density,31.1
10-00742,particle density,1.0928
10-01347,bulk density,37.4
10-01347,particle density,1.0957
10-01348,bulk density,35.6
10-01348,particle density,1.0985
10-01349,bulk density,38.9
10-01349,particle density,1.1058
10-01350,bulk density,39.1
10-01350,particle density,1.1042
10-01523,bulk density,40.9
10-01523,particle density,1.1114000000000002
10-01524,particle density,1.1098
10-01524,bulk density,41.2
10-02849,particle density,1.0768
10-02849,bulk density,38.0
10-02850,particle density,1.0772
10-02850,bulk density,38.0
10-02851,bulk density,38.2
10-02851,particle density,1.0771
10-02852,bulk density,38.1
10-02852,particle density,1.0772
10-02888,particle density,1.0675
10-02888,bulk density,37.9
10-03014,particle density,1.1108
10-03014,bulk density,35.4
10-03015,bulk density,34.9
10-03015,particle density,1.1078000000000001
10-03016,particle density,1.1059999999999999
10-03016,bulk density,36.3
10-03208,bulk density,29.5
10-03208,particle density,1.0756000000000001
10-03317,bulk density,36.43
10-03317,particle density,1.1096
10-03318,particle density,1.1116000000000001
10-03318,bulk density,35.480000000000004
10-03879,bulk density,37.58
10-03879,particle density,1.0973000000000002
10-03880,particle density,1.1053
10-03880,bulk density,35.04
10-04070,particle density,1.0756999999999999
10-04070,bulk density,27.44
10-05538,particle density,1.0971
10-05538,bulk density,36.0
10-05539,particle density,1.1109
10-05539,bulk density,37.0
10-05540,particle density,1.1108
10-05540,bulk density,37.0
10-05541,bulk density,35.0
10-05541,particle density,1.1065
10-05697,bulk density,27.9
10-05697,particle density,1.0912
10-05772,particle density,1.0906
10-05772,bulk density,27.8
10-05773,bulk density,27.6
10-05773,particle density,1.0906
10-05774,bulk density,28.6
10-05774,particle density,1.0904
10-05775,particle density,1.0904
10-05775,bulk density,28.4
10-05776,bulk density,28.7
10-05776,particle density,1.0904
10-05777,particle density,1.0904
10-05777,bulk density,24.6
10-05778,bulk density,27.9
10-05778,particle density,1.0899
10-05864,bulk density,37.5
10-05864,particle density,1.0977999999999999
10-05865,particle density,1.1058
10-05865,bulk density,36.0
10-05866,particle density,1.1101999999999999
10-05866,bulk density,36.8
10-06129,particle density,1.1068
10-06129,bulk density,39.2
10-06130,particle density,1.1065
10-06130,bulk density,38.9
10-06346,particle density,1.0934
10-06346,bulk density,26.7
10-06347,bulk density,25.8
10-06347,particle density,1.0896
10-06434,particle density,1.108
10-06434,bulk density,37.1
10-06435,bulk density,37.0
10-06435,particle density,1.0977999999999999
10-06436,bulk density,38.0
10-06436,particle density,1.1044
10-06437,particle density,1.1052
10-06437,bulk density,36.1
10-06438,particle density,1.1074000000000002
10-06438,bulk density,32.8
10-06574,particle density,1.0754000000000001
10-06574,bulk density,28.8
10-08188,particle density,1.0748
10-08188,bulk density,28.1
10-09131,bulk density,37.3
10-09131,particle density,1.0962
10-09132,particle density,1.0964
10-09132,bulk density,37.5
10-10069,particle density,1.0974
10-10069,bulk density,36.0
10-10070,particle density,1.1054
10-10070,bulk density,36.0
10-10071,particle density,1.1016
10-10071,bulk density,34.0
10-10072,particle density,1.0945
10-10072,bulk density,29.0
10-10109,particle density,1.097
10-10109,bulk density,37.0
10-10553,particle density,1.0945
10-10553,bulk density,29.1
10-10554,bulk density,33.1
10-10554,particle density,1.1021
10-10555,particle density,1.1
10-10555,bulk density,30.8
10-10556,bulk density,30.8
10-10556,particle density,1.1034000000000002
10-11076,bulk density,29.0
10-11076,particle density,1.0743
10-11412,particle density,1.0957
10-11412,bulk density,37.0
10-11413,bulk density,30.0
10-11413,particle density,1.0926
10-11414,bulk density,29.0
10-11414,particle density,1.0913
10-11415,bulk density,29.0
10-11415,particle density,1.0922
10-11416,bulk density,28.0
10-11416,particle density,1.0901
10-12594,particle density,1.0884
10-12594,bulk density,31.1
10-12595,particle density,1.0734
10-12595,bulk density,27.8
10-12596,particle density,1.075
10-12596,bulk density,28.9
10-12902,bulk density,35.0
10-12902,particle density,1.0972
10-12903,particle density,1.1048
10-12903,bulk density,36.0
10-12904,bulk density,34.0
10-12904,particle density,1.0984
10-12905,bulk density,35.0
10-12905,particle density,1.1019
10-14475,bulk density,40.6
10-14475,particle density,1.097
10-14482,bulk density,39.3
10-14482,particle density,1.0966
10-17207,bulk density,39.0
10-17207,particle density,1.1061999999999999
10-17208,particle density,1.1055000000000001
10-17208,bulk density,39.0
10-17209,particle density,1.1059999999999999
10-17209,bulk density,39.0
10-18638,particle density,1.0733000000000001
10-18638,bulk density,39.3
10-20375,particle density,1.0695999999999999
10-20375,bulk density,40.5
11-03904,particle density,1.0683
11-03904,bulk density,25.5
11-04566,bulk density,28.0
11-04566,particle density,1.0727
11-04567,particle density,1.0729
11-04567,bulk density,26.0
11-05016,particle density,1.096
11-05016,bulk density,0.0
11-05017,bulk density,0.0
11-05017,particle density,1.0963
11-06620,particle density,1.0693000000000001
11-06620,bulk density,32.6
11-06621,bulk density,33.1
11-06621,particle density,1.0694
11-08009,particle density,1.0701
11-08009,bulk density,25.01
11-08373,particle density,1.0693000000000001
11-08373,bulk density,30.9
11-08860,bulk density,27.6
11-08860,particle density,1.0678999999999998
11-09550,bulk density,25.0
11-09550,particle density,1.0694
11-09551,bulk density,25.0
11-09551,particle density,1.0695999999999999
11-09552,particle density,1.0693000000000001
11-09552,bulk density,25.29
11-09553,particle density,1.0695000000000001
11-09553,bulk density,24.98
11-09560,particle density,1.0732
11-09560,bulk density,27.16
11-09726,particle density,1.0756999999999999
11-09726,bulk density,29.7
11-09902,particle density,1.0693000000000001
11-09902,bulk density,30.0
11-09903,particle density,1.069
11-09903,bulk density,30.0
11-09904,bulk density,30.0
11-09904,particle density,1.0688
11-09905,bulk density,30.0
11-09905,particle density,1.0691000000000002
11-09906,bulk density,30.0
11-09906,particle density,1.0695000000000001
11-09907,particle density,1.0697999999999999
11-09907,bulk density,31.0
11-09908,particle density,1.0699
11-09908,bulk density,31.0
11-09909,particle density,1.0709
11-09909,bulk density,28.0
11-09910,bulk density,28.0
11-09910,particle density,1.0703
11-09911,particle density,1.0704
11-09911,bulk density,29.0
11-09912,bulk density,28.4
11-09912,particle density,1.0704
11-09981,bulk density,28.26
11-09981,particle density,1.0708
11-10321,particle density,1.0746
11-10321,bulk density,38.0
11-10322,particle density,1.0728
11-10322,bulk density,41.0
11-10323,particle density,1.0726
11-10323,bulk density,40.0
11-10324,particle density,1.0725
11-10324,bulk density,40.0
11-12229,bulk density,40.0
11-12229,particle density,1.0733000000000001
11-14575,particle density,1.0747
11-14575,bulk density,29.7
11-15037,bulk density,27.9
11-15037,particle density,1.0704
11-15038,particle density,1.0739999999999998
11-15038,bulk density,0.0
11-15394,bulk density,37.5
11-15394,particle density,1.0723
11-15606,bulk density,37.5
11-15606,particle density,1.0721
11-15607,bulk density,40.6
11-15607,particle density,1.0725
11-15608,particle density,1.0718999999999999
11-15608,bulk density,40.3
11-16001,particle density,1.0732
11-16001,bulk density,37.5
11-16006,bulk density,38.4
11-16006,particle density,1.0709
11-17155,bulk density,38.4
11-17155,particle density,1.0697
11-17156,particle density,1.0704
11-17156,bulk density,38.1
11-18049,particle density,1.0703
11-18049,bulk density,38.0
12-01286,bulk density,37.8
12-01286,particle density,1.0714000000000001
12-01304,bulk density,37.0
12-01304,particle density,1.0685
12-01310,bulk density,38.4
12-01310,particle density,1.0782
12-01314,bulk density,37.8
12-01314,particle density,1.0704
12-01819,particle density,1.0739999999999998
12-01819,bulk density,38.1
12-01820,particle density,1.0745
12-01820,bulk density,38.1
12-02387,particle density,1.1049
12-02387,bulk density,39.3
12-02771,bulk density,38.4
12-02771,particle density,1.0697999999999999
12-02772,bulk density,37.15
12-02772,particle density,1.0692
12-02784,bulk density,38.87
12-02784,particle density,1.0859
12-02867,bulk density,37.9
12-02867,particle density,1.0681
12-02874,particle density,1.0745
12-02874,bulk density,39.49
12-03229,particle density,1.0734
12-03229,bulk density,37.15
12-03230,bulk density,36.06
12-03230,particle density,1.0743
12-03835,particle density,1.0739999999999998
12-03835,bulk density,37.78
12-03836,particle density,1.0772
12-03836,bulk density,37.93
12-03837,bulk density,39.18
12-03837,particle density,1.0853000000000002
12-04032,particle density,1.1012
12-04032,bulk density,37.9
12-04033,particle density,1.1057000000000001
12-04033,bulk density,39.5
12-04805,particle density,1.0663
12-04805,bulk density,28.9
12-04806,bulk density,31.1
12-04806,particle density,1.0663
12-04807,particle density,1.0732
12-04807,bulk density,27.3
12-04808,particle density,1.0713
12-04808,bulk density,28.6
12-05075,particle density,1.0687
12-05075,bulk density,31.4
12-05076,particle density,1.0686
12-05076,bulk density,31.5
12-05077,bulk density,31.1
12-05077,particle density,1.0687
12-05165,bulk density,38.7
12-05165,particle density,1.0682
12-05166,bulk density,38.9
12-05166,particle density,1.0683
12-07201,bulk density,39.3
12-07201,particle density,1.0705
12-07286,bulk density,38.1
12-07286,particle density,1.0689
12-07287,bulk density,38.1
12-07287,particle density,1.0697
12-07288,particle density,1.0704
12-07288,bulk density,38.4
12-07292,bulk density,37.3
12-07292,particle density,1.0697999999999999
12-07336,particle density,1.0732
12-07336,bulk density,36.4
12-07337,bulk density,37.2
12-07337,particle density,1.0701
12-07338,bulk density,40.7
12-07338,particle density,1.0735999999999999
12-07955,bulk density,38.87
12-07955,particle density,1.1080999999999999
12-07956,bulk density,40.12
12-07956,particle density,1.1063
12-07977,particle density,1.0678999999999998
12-07977,bulk density,32.47
12-07978,particle density,1.0676
12-07978,bulk density,32.94
12-07979,particle density,1.0663
12-07979,bulk density,31.84
12-08541,particle density,1.0739999999999998
12-08541,bulk density,40.27
12-08542,bulk density,40.43
12-08542,particle density,1.0742
12-09915,particle density,1.0676999999999999
12-09915,bulk density,33.2
12-09916,bulk density,32.3
12-09916,particle density,1.0673
12-09917,bulk density,33.1
12-09917,particle density,1.0671
12-09918,particle density,1.0676999999999999
12-09918,bulk density,32.0
12-10811,particle density,1.0758
12-10811,bulk density,29.04
12-10825,bulk density,40.9
12-10825,particle density,1.0926
12-10826,bulk density,40.27
12-10826,particle density,1.0907
12-10853,particle density,1.0793
12-10853,bulk density,38.4
12-10854,bulk density,40.74
12-10854,particle density,1.0742
12-10855,bulk density,40.59
12-10855,particle density,1.0718999999999999
12-10856,bulk density,36.84
12-10856,particle density,1.0689
12-11049,bulk density,38.6
12-11049,particle density,1.0685
12-11050,particle density,1.0686
12-11050,bulk density,38.7
12-11075,particle density,1.0635
12-11075,bulk density,37.3
12-11076,bulk density,38.6
12-11076,particle density,1.071
12-11119,particle density,1.0868
12-11119,bulk density,40.6
12-11120,bulk density,40.6
12-11120,particle density,1.087
12-11127,bulk density,37.8
12-11127,particle density,1.0708
12-11397,bulk density,38.1
12-11397,particle density,1.0745
12-11398,bulk density,37.3
12-11398,particle density,1.0701
12-11399,particle density,1.0744
12-11399,bulk density,40.3
12-11476,particle density,1.0739
12-11476,bulk density,36.1
12-11810,bulk density,38.7
12-11810,particle density,1.0716999999999999
12-11812,bulk density,39.5
12-11812,particle density,1.0706
12-11813,bulk density,38.6
12-11813,particle density,1.0689
12-12289,particle density,1.0737999999999999
12-12289,bulk density,40.6
12-12290,bulk density,37.3
12-12290,particle density,1.0681
12-12291,particle density,1.067
12-12291,bulk density,37.0
12-12361,particle density,1.0682
12-12361,bulk density,38.7
12-12362,particle density,1.0678
12-12362,bulk density,38.7
12-12394,bulk density,39.0
12-12394,particle density,1.0814
12-12396,bulk density,38.6
12-12396,particle density,1.0840999999999998
12-12431,bulk density,40.9
12-12431,particle density,1.0934
12-12432,bulk density,40.7
12-12432,particle density,1.0905
12-12527,particle density,1.0877
12-12527,bulk density,41.2
12-12775,bulk density,42.9
12-12775,particle density,1.1192
12-12797,bulk density,37.2
12-12797,particle density,1.0703
12-12798,particle density,1.0705
12-12798,bulk density,36.8
12-12947,particle density,1.0731000000000002
12-12947,bulk density,40.4
12-12948,particle density,1.0733000000000001
12-12948,bulk density,40.6
12-12949,particle density,1.0721
12-12949,bulk density,40.0
12-12950,bulk density,40.0
12-12950,particle density,1.0699
12-12960,particle density,1.0688
12-12960,bulk density,39.2
12-12961,bulk density,38.9
12-12961,particle density,1.0697999999999999
12-13309,particle density,1.0697999999999999
12-13309,bulk density,37.0
12-15039,particle density,1.0718
12-15039,bulk density,38.09
12-15040,bulk density,38.24
12-15040,particle density,1.0721
12-15134,bulk density,39.2
12-15134,particle density,1.08
12-15135,bulk density,37.3
12-15135,particle density,1.064
12-15136,bulk density,40.9
12-15136,particle density,1.0722
12-15137,particle density,1.075
12-15137,bulk density,41.1
12-15322,particle density,1.072
12-15322,bulk density,37.78
12-15323,bulk density,37.93
12-15323,particle density,1.0722
12-15327,particle density,1.0722
12-15327,bulk density,37.78
12-15473,particle density,1.0737999999999999
12-15473,bulk density,38.2
12-15474,bulk density,37.3
12-15474,particle density,1.0697999999999999
12-15475,particle density,1.0741
12-15475,bulk density,40.6
12-15776,particle density,1.0721
12-15776,bulk density,27.0
12-15777,bulk density,26.5
12-15777,particle density,1.0744
12-15778,particle density,1.0724
12-15778,bulk density,27.8
12-15779,bulk density,27.8
12-15779,particle density,1.0725
12-16082,bulk density,41.1
