sample,parameter,value
04-00552,particle density,1.1074000000000002
04-00553,particle density,1.1101
04-00553,bulk density,33.4
04-00554,bulk density,33.1
04-00554,particle density,1.1105
04-00814,particle density,1.1065
04-00814,bulk density,41.0
04-00815,bulk density,42.0
04-00815,particle density,1.1080999999999999
04-00816,particle density,1.1077
04-00816,bulk density,42.0
04-00817,particle density,1.108
04-00817,bulk density,41.0
04-00818,bulk density,42.0
04-00818,particle density,1.1078000000000001
04-00820,particle density,1.1098
04-00820,bulk density,42.0
04-00867,bulk density,38.0
04-00867,particle density,1.0968
04-02415,particle density,1.0958
04-02415,bulk density,26.0
04-03214,bulk density,39.0
04-03214,particle density,1.1026
04-04468,bulk density,40.1
04-04468,particle density,1.0702
04-05400,bulk density,36.0
04-05400,particle density,1.0828
04-05401,particle density,1.083
04-05401,bulk density,36.0
04-05402,bulk density,39.0
04-05402,particle density,1.0829
04-07298,particle density,1.093
04-07298,bulk density,29.0
04-09371,particle density,1.1016
04-09371,bulk density,41.0
04-09372,particle density,1.1026
04-09372,bulk density,40.0
04-09373,bulk density,41.0
04-09373,particle density,1.1016
04-09374,bulk density,39.0
04-09374,particle density,1.0827
04-09375,bulk density,38.0
04-09375,particle density,1.0827
04-09376,bulk density,39.0
04-09376,particle density,1.0821
04-09377,particle density,1.0838
04-09377,bulk density,38.0
04-09378,particle density,1.0821
04-09378,bulk density,37.0
04-09379,particle density,1.0826
04-09379,bulk density,39.0
04-09380,particle density,1.0829
04-09380,bulk density,39.0
04-09381,particle density,1.0826
04-09381,bulk density,37.0
04-09382,particle density,1.0834000000000001
04-09382,bulk density,36.0
04-09383,particle density,1.0758999999999999
04-09383,bulk density,38.0
04-09384,particle density,1.077
04-09384,bulk density,39.0
04-09385,bulk density,39.0
04-09385,particle density,1.0815000000000001
04-09386,bulk density,39.0
04-09386,particle density,1.081
04-09387,bulk density,39.0
04-09387,particle density,1.0817999999999999
04-09388,particle density,1.0979999999999999
04-09388,bulk density,42.0
04-09389,bulk density,40.0
04-09389,particle density,1.0992
04-09390,bulk density,42.0
04-09390,particle density,1.0965
04-09391,particle density,1.0951
04-09391,bulk density,41.0
04-09392,particle density,1.1011
04-09392,bulk density,41.0
04-09393,bulk density,41.0
04-09393,particle density,1.0927
04-09693,particle density,1.0705
04-09693,bulk density,27.0
04-09694,particle density,1.0712000000000002
04-09694,bulk density,27.0
04-09695,particle density,1.0721
04-09695,bulk density,25.0
04-09696,bulk density,25.0
04-09696,particle density,1.0718
04-09697,bulk density,26.0
04-09697,particle density,1.0709
04-09698,particle density,1.0692
04-09698,bulk density,27.0
04-09699,bulk density,27.0
04-09699,particle density,1.0702
04-09700,particle density,1.0718
04-09700,bulk density,26.0
04-09701,particle density,1.0704
04-09701,bulk density,26.0
04-09702,particle density,1.0703
04-09702,bulk density,26.0
04-09703,particle density,1.0699999999999998
04-09703,bulk density,26.0
04-10545,particle density,1.0706
04-10545,bulk density,28.0
04-10546,bulk density,28.0
04-10546,particle density,1.071
04-10547,particle density,1.0713
04-10547,bulk density,29.0
04-10548,bulk density,29.0
04-10548,particle density,1.0709
04-11262,particle density,1.0966
04-11262,bulk density,27.0
04-13328,particle density,1.0848
04-13328,bulk density,37.0
04-13329,particle density,1.0834000000000001
04-13329,bulk density,37.0
04-13330,bulk density,37.0
04-13330,particle density,1.0831
04-13989,bulk density,29.0
04-13989,particle density,1.0715
04-13990,particle density,1.1032
04-13990,bulk density,35.0
04-13991,bulk density,37.0
04-13991,particle density,1.1146
04-13992,particle density,1.116
04-13992,bulk density,31.0
04-13993,particle density,1.0706
04-13993,bulk density,26.0
04-13994,particle density,1.0709
04-13994,bulk density,28.0
04-13995,bulk density,29.0
04-13995,particle density,1.068
04-14598,bulk density,37.96
04-14598,particle density,1.1053
04-14599,particle density,1.1063
04-14599,bulk density,38.09
04-15561,particle density,1.1091
04-15561,bulk density,27.0
04-15744,particle density,1.096
04-15744,bulk density,40.0
04-15745,particle density,1.0958999999999999
04-15745,bulk density,40.0
04-15746,particle density,1.0955
04-15746,bulk density,40.0
04-15747,bulk density,39.0
04-15747,particle density,1.1002
04-16086,particle density,1.1115
04-16086,bulk density,36.0
04-16087,bulk density,34.0
04-16087,particle density,1.1074000000000002
04-16088,particle density,1.1059999999999999
04-16088,bulk density,34.0
04-16089,particle density,1.1048
04-16089,bulk density,33.0
04-16090,bulk density,35.0
04-16090,particle density,1.1059
04-16093,bulk density,35.0
04-16093,particle density,1.1114000000000002
04-16094,particle density,1.1126
04-16094,bulk density,35.0
04-16095,particle density,1.1122999999999998
04-16095,bulk density,35.0
04-16096,bulk density,35.0
04-16096,particle density,1.1120999999999999
04-16097,particle density,1.1124
04-16097,bulk density,35.0
04-16098,bulk density,35.0
04-16098,particle density,1.1129
04-16099,particle density,1.1131
04-16099,bulk density,35.0
04-16100,bulk density,34.0
04-16100,particle density,1.113
04-16317,particle density,1.0901
04-16317,bulk density,28.1
04-17382,bulk density,39.0
04-17382,particle density,1.0722
04-18202,bulk density,32.0
04-18202,particle density,1.1099999999999999
04-18639,bulk density,32.0
04-18639,particle density,1.1113
04-19029,particle density,1.1116000000000001
04-19029,bulk density,36.0
04-20399,bulk density,25.0
04-20399,particle density,1.0741
04-20400,particle density,1.0748
04-20400,bulk density,26.0
04-20401,particle density,1.0748
04-20401,bulk density,25.0
04-20402,bulk density,25.0
04-20402,particle density,1.0745
04-20403,particle density,1.0718999999999999
04-20403,bulk density,26.0
04-20404,particle density,1.0713
04-20404,bulk density,26.0
04-20405,particle density,1.0709
04-20405,bulk density,26.0
04-20406,particle density,1.0701
04-20406,bulk density,26.0
04-20407,particle density,1.0704
04-20407,bulk density,27.0
04-20408,particle density,1.0702
04-20408,bulk density,27.0
04-20409,particle density,1.0705
04-20409,bulk density,27.0
04-20733,particle density,1.1117
04-20733,bulk density,31.0
04-20734,bulk density,31.0
04-20734,particle density,1.1078999999999999
04-20735,bulk density,30.0
04-20735,particle density,1.1116000000000001
04-20736,bulk density,31.0
04-20736,particle density,1.112
04-20737,bulk density,32.0
04-20737,particle density,1.112
04-20738,bulk density,30.0
04-20738,particle density,1.1106
04-20739,particle density,1.1112
04-20739,bulk density,31.0
04-20740,bulk density,31.0
04-20740,particle density,1.1112
04-20741,bulk density,33.0
04-20741,particle density,1.1088
04-20742,bulk density,30.0
04-20742,particle density,1.1106
04-20743,particle density,1.1101999999999999
04-20743,bulk density,31.0
04-20744,bulk density,34.0
04-20744,particle density,1.1078999999999999
04-20745,particle density,1.1109
04-20745,bulk density,31.0
04-21961,particle density,1.0894
04-21961,bulk density,0.0
04-21962,bulk density,28.0
04-21962,particle density,1.0888
04-22200,bulk density,31.0
04-22200,particle density,1.1101
04-22201,particle density,1.111
04-22201,bulk density,30.0
04-22202,bulk density,31.0
04-22202,particle density,1.1107
04-22213,bulk density,30.0
04-22213,particle density,1.0951
04-22219,bulk density,30.0
04-22219,particle density,1.0704
04-23103,particle density,1.0927
04-23103,bulk density,35.0
