,massflow,pressure,temperature,ambient_temperature
2022-04-04 11:01:00,0.009848198,853.54315,73.63544,20.62738
2022-04-04 11:02:00,0.008828884,891.23773,72.927216,20.57483
2022-04-04 11:03:00,0.0089556845,880.7181,74.98822,20.822113
2022-04-04 11:04:00,0.010263861,887.63837,74.7457,21.185974
2022-04-04 11:05:00,0.009396154,917.11914,75.3577,21.243042
2022-04-04 11:06:00,0.00862986,958.7511,75.04022,20.58496
2022-04-04 11:07:00,0.009351249,984.59015,75.93579,20.563599
2022-04-04 11:08:00,0.009562281,992.085,74.95264,20.79837
2022-04-04 11:09:00,0.009260557,1014.70197,76.68198,20.175385
2022-04-04 11:10:00,0.009305648,1046.8105,76.5069,21.39032
2022-04-04 11:11:00,0.009030128,1072.9271,76.47357,20.96112
2022-04-04 11:12:00,0.009331613,1094.6915,77.10989,21.231445
2022-04-04 11:13:00,0.008759773,1118.325,77.65033,21.270203
2022-04-04 11:14:00,0.009538426,1095.3032,77.456604,20.639648
2022-04-04 11:15:00,0.009719217,1138.2266,76.839874,21.273132
2022-04-04 11:16:00,0.009078445,1157.5753,77.70325,20.67389
2022-04-04 11:17:00,0.009345365,1163.704,78.15436,20.55838
2022-04-04 11:18:00,0.009905773,1188.5773,77.51349,21.018097
2022-04-04 11:19:00,0.009392225,1200.2555,79.15839,21.329224
2022-04-04 11:20:00,0.009878977,1256.2562,77.40115,21.856873
2022-04-04 11:21:00,0.01036589,1256.154,79.253204,20.660278
2022-04-04 11:22:00,0.009188976,1260.0962,78.5499,22.082245
2022-04-04 11:23:00,0.0095519265,1265.0167,78.29465,21.211731
2022-04-04 11:24:00,0.009142066,1286.0236,79.06821,21.04123
2022-04-04 11:25:00,0.009353925,1320.1206,78.80948,20.88208
2022-04-04 11:26:00,0.009303754,1351.099,79.07736,20.194702
2022-04-04 11:27:00,0.009303513,1369.4492,77.75409,21.35736
2022-04-04 11:28:00,0.009484168,1365.0482,79.68945,20.124054
2022-04-04 11:29:00,0.00938549,1396.7646,78.842224,21.588226
2022-04-04 11:30:00,0.009116042,1398.5287,78.65112,21.690247
2022-04-04 11:31:00,0.009490044,1429.1492,80.23593,21.019012
2022-04-04 11:32:00,0.009550816,1457.1072,79.34363,21.045074
2022-04-04 11:33:00,0.008864614,1454.0316,79.56714,21.821747
2022-04-04 11:34:00,0.0095351385,1473.0667,79.491486,20.699158
2022-04-04 11:35:00,0.009673035,1504.7872,80.040375,21.5029
2022-04-04 11:36:00,0.00992984,1520.3104,79.67877,20.440033
2022-04-04 11:37:00,0.009385949,1523.9397,80.031006,20.675934
2022-04-04 11:38:00,0.008955474,1563.0717,80.04785,21.125427
2022-04-04 11:39:00,0.009795063,1595.3961,79.47443,21.160065
2022-04-04 11:40:00,0.009244478,1581.8735,80.538086,21.151031
2022-04-04 11:41:00,0.009095656,1584.014,79.41806,21.02237
2022-04-04 11:42:00,0.008870278,1610.2621,79.04825,20.932587
2022-04-04 11:43:00,0.0091849025,1631.4849,80.33481,21.641266
2022-04-04 11:44:00,0.009409526,1646.071,79.29376,21.5495
2022-04-04 11:45:00,0.009083933,1654.1343,80.36713,20.965942
2022-04-04 11:46:00,0.01002993,1677.0685,80.68213,20.369537
2022-04-04 11:47:00,0.0094191935,1690.072,79.36322,21.009033
2022-04-04 11:48:00,0.008458545,1708.7538,79.824615,20.914886
2022-04-04 11:49:00,0.009320636,1750.7177,79.61624,21.223297
2022-04-04 11:50:00,0.0090143,1743.2681,79.77246,20.742218
2022-04-04 11:51:00,0.009454432,1758.3545,79.809326,20.384247
2022-04-04 11:52:00,0.008427192,1754.9082,78.95987,21.5596
2022-04-04 11:53:00,0.009358329,1805.48,79.49411,21.538086
2022-04-04 11:54:00,0.008477556,1808.641,79.856384,21.73468
2022-04-04 11:55:00,0.009878335,1826.0184,79.6832,21.210846
2022-04-04 11:56:00,0.008814041,1838.6857,79.64368,21.861359
2022-04-04 11:57:00,0.009695365,1864.0566,79.54584,21.487091
2022-04-04 11:58:00,0.009152975,1875.0748,79.0383,21.387299
2022-04-04 11:59:00,0.009541995,1907.8256,79.76544,21.426971
2022-04-04 12:00:00,0.009124458,1921.8864,80.21286,21.66629
2022-04-04 12:01:00,0.009531051,1928.5779,79.60886,21.874542
2022-04-04 12:02:00,0.0093961945,1945.9312,80.26614,21.179169
2022-04-04 12:03:00,0.009342889,1966.6589,79.762085,21.734375
2022-04-04 12:04:00,0.009824187,1995.9144,79.03488,21.389679
2022-04-04 12:05:00,0.009276021,2002.753,79.96332,21.446014
2022-04-04 12:06:00,0.009122183,2000.4008,79.49982,21.391571
2022-04-04 12:07:00,0.009230062,2018.9712,79.902466,21.399506
2022-04-04 12:08:00,0.009079512,2082.2974,78.84787,21.23883
2022-04-04 12:09:00,0.009361739,2065.9832,79.676025,21.381195
2022-04-04 12:10:00,0.009762159,2105.5957,79.85455,21.10971
2022-04-04 12:11:00,0.009686982,2102.1936,78.36612,21.127075
2022-04-04 12:12:00,0.008337005,2119.0945,78.88757,20.93637
2022-04-04 12:13:00,0.009578546,2110.9736,79.21695,22.216248
2022-04-04 12:14:00,0.009295983,2140.6147,78.86929,20.95993
2022-04-04 12:15:00,0.009338678,2142.123,78.30347,21.21399
2022-04-04 12:16:00,0.009846727,2181.111,79.2341,22.534332
2022-04-04 12:17:00,0.009719324,2182.2495,79.1413,21.62085
2022-04-04 12:18:00,0.009874839,2211.958,79.1228,21.809174
2022-04-04 12:19:00,0.009487704,2219.8452,78.92828,21.220123
2022-04-04 12:20:00,0.009410041,2246.1602,79.2887,20.379547
2022-04-04 12:21:00,0.0098547675,2253.1855,78.33765,20.994598
2022-04-04 12:22:00,0.0089735305,2262.2502,79.268555,20.588379
2022-04-04 12:23:00,-0.00015779908,2281.7322,78.00366,21.198456
2022-04-04 12:24:00,0.00028117697,2257.416,78.69098,20.582275
2022-04-04 12:25:00,-0.00018436118,2260.8403,78.0289,20.080902
2022-04-04 12:26:00,-0.00021963296,2236.7598,77.98712,21.288727
2022-04-04 12:27:00,-5.7302652e-05,2200.974,77.45886,20.825928
2022-04-04 12:28:00,0.0007424252,2267.5498,77.02759,20.57312
2022-04-04 12:29:00,0.00041641743,2229.3757,76.05325,21.156616
2022-04-04 12:30:00,0.0005902701,2217.4248,76.66382,21.57843
2022-04-04 12:31:00,-6.0847688e-05,2217.9053,76.237915,21.307343
